GameId,GameDate,DayOfWeek,StartTime,HomeTeam,AwayTeam,HomeTeamCode,AwayTeamCode,HomeScore,AwayScore,HomeCoach,AwayCoach,Stadium,Attendance,Duration,Roof,Surface,Weather,HomeOff01_Position,HomeOff01_Name,HomeOff01_ID,HomeOff02_Position,HomeOff02_Name,HomeOff02_ID,HomeOff03_Position,HomeOff03_Name,HomeOff03_ID,HomeOff04_Position,HomeOff04_Name,HomeOff04_ID,HomeOff05_Position,HomeOff05_Name,HomeOff05_ID,HomeOff06_Position,HomeOff06_Name,HomeOff06_ID,HomeOff07_Position,HomeOff07_Name,HomeOff07_ID,HomeOff08_Position,HomeOff08_Name,HomeOff08_ID,HomeOff09_Position,HomeOff09_Name,HomeOff09_ID,HomeOff10_Position,HomeOff10_Name,HomeOff10_ID,HomeOff11_Position,HomeOff11_Name,HomeOff11_ID,HomeDef01_Position,HomeDef01_Name,HomeDef01_ID,HomeDef02_Position,HomeDef02_Name,HomeDef02_ID,HomeDef03_Position,HomeDef03_Name,HomeDef03_ID,HomeDef04_Position,HomeDef04_Name,HomeDef04_ID,HomeDef05_Position,HomeDef05_Name,HomeDef05_ID,HomeDef06_Position,HomeDef06_Name,HomeDef06_ID,HomeDef07_Position,HomeDef07_Name,HomeDef07_ID,HomeDef08_Position,HomeDef08_Name,HomeDef08_ID,HomeDef09_Position,HomeDef09_Name,HomeDef09_ID,HomeDef10_Position,HomeDef10_Name,HomeDef10_ID,HomeDef11_Position,HomeDef11_Name,HomeDef11_ID,AwayOff01_Position,AwayOff01_Name,AwayOff01_ID,AwayOff02_Position,AwayOff02_Name,AwayOff02_ID,AwayOff03_Position,AwayOff03_Name,AwayOff03_ID,AwayOff04_Position,AwayOff04_Name,AwayOff04_ID,AwayOff05_Position,AwayOff05_Name,AwayOff05_ID,AwayOff06_Position,AwayOff06_Name,AwayOff06_ID,AwayOff07_Position,AwayOff07_Name,AwayOff07_ID,AwayOff08_Position,AwayOff08_Name,AwayOff08_ID,AwayOff09_Position,AwayOff09_Name,AwayOff09_ID,AwayOff10_Position,AwayOff10_Name,AwayOff10_ID,AwayOff11_Position,AwayOff11_Name,AwayOff11_ID,AwayDef01_Position,AwayDef01_Name,AwayDef01_ID,AwayDef02_Position,AwayDef02_Name,AwayDef02_ID,AwayDef03_Position,AwayDef03_Name,AwayDef03_ID,AwayDef04_Position,AwayDef04_Name,AwayDef04_ID,AwayDef05_Position,AwayDef05_Name,AwayDef05_ID,AwayDef06_Position,AwayDef06_Name,AwayDef06_ID,AwayDef07_Position,AwayDef07_Name,AwayDef07_ID,AwayDef08_Position,AwayDef08_Name,AwayDef08_ID,AwayDef09_Position,AwayDef09_Name,AwayDef09_ID,AwayDef10_Position,AwayDef10_Name,AwayDef10_ID,AwayDef11_Position,AwayDef11_Name,AwayDef11_ID,Official01_Role,Official01_Name,Official02_Role,Official02_Name,Official03_Role,Official03_Name,Official04_Role,Official04_Name,Official05_Role,Official05_Name,Official06_Role,Official06_Name,Official07_Role,Official07_Name
202309070kan,2023-09-07,Thursday,8:20pm,Kansas City Chiefs,Detroit Lions,kan,det,20,21,Andy Reid,Dan Campbell,GEHA Field at Arrowhead Stadium,73522,3:02,outdoors,grass,,QB,Patrick Mahomes,MahoPa00,RB,Clyde Edwards-Helaire,EdwaCl00,WR,Marquez Valdes-Scantling,ValdMa00,WR,Kadarius Toney,ToneKa00,WR,Skyy Moore,MoorSk01,TE,Noah Gray,GrayNo00,T,Jawaan Taylor,TaylJa02,T,Donovan Smith,SmitDo02,G,Joe Thuney,ThunJo00,G,Trey Smith,SmitTr05,C,Creed Humphrey,HumpCr00,DE,Michael Danna,DannMi00,DE,George Karlaftis III,KarlGe00,DT,Tershawn Wharton,WharTe00,DT,Derrick Nnadi,NnadDe00,LB,Willie Gay Jr.,GayJWi00,LB,Nick Bolton,BoltNi00,CB,L'Jarius Sneed,SneeLJ00,CB,Trent McDuffie,McDuTr00,DB,Chamarri Conner,ConnCh01,S,Justin Reid,ReidJu00,S,Bryan Cook,CookBr02,QB,Jared Goff,GoffJa00,RB,David Montgomery,MontDa01,WR,Amon-Ra St. Brown,StxxAm00,WR,Josh Reynolds,ReynJo00,WR,Marvin Jones,JoneMa02,TE,Sam LaPorta,LaPoSa01,T,Penei Sewell,SewePe00,T,Taylor Decker,DeckTa00,G,Halapoulivaati Vaitai,VaitHa00,G,Jonah Jackson,JackJo03,C,Frank Ragnow,RagnFr00,DL,Benito Jones,JoneBe03,DL,Aidan Hutchinson,HutcAi00,DL,Alim McNeill,McNeAl00,DL,Charles Harris,HarrCh03,DL,John Cominsky,ComiJo00,LB,Derrick Barnes,BarnDe02,LB,Alex Anzalone,AnzaAl00,CB,Jerry Jacobs,JacoJe00,CB,Cameron Sutton,SuttCa00,DB,C.J. Gardner-Johnson,GardCh00,S,Kerby Joseph,JoseKe03,Referee,John Hussey,Umpire,Carl Paganelli,Down Judge,Frank LeBlanc,Line Judge,Carl Johnson,Back Judge,Matt Edwards,Side Judge,Allen Baynes,Field Judge,Anthony Flemming
202309100atl,2023-09-10,Sunday,1:00pm,Atlanta Falcons,Carolina Panthers,atl,car,24,10,Arthur Smith,Frank Reich,Mercedes-Benz Stadium,69597,3:06,retractable roof (closed),fieldturf,,QB,Desmond Ridder,RiddDe00,RB,Bijan Robinson,RobiBi01,FB,Keith Smith,SmitKe03,WR,Drake London,LondDr00,TE,MyCole Pruitt,PruiMy00,TE,Kyle Pitts,PittKy00,OL,Matthew Bergeron,BergMa00,OL,Drew Dalman,DalmDr00,T,Jake Matthews,MattJa00,T,Kaleb McGary,McGaKa00,G,Chris Lindstrom,LindCh00,DL,Calais Campbell,CampCa99,DL,Grady Jarrett,JarrGr00,DL,David Onyemata,OnyeDa00,OLB,Bud Dupree,DuprAl00,LB,Troy Andersen,AndeTr00,LB,Kaden Elliss,ElliKa00,CB,Tre Flowers,FlowTr01,CB,DeAundre Alford,AlfoDe00,CB,AJ Terrell,TerrAJ00,S,Richie Grant,GranRi00,S,Jessie Bates III,BateJe00,QB,Bryce Young,YounBr01,RB,Miles Sanders,SandMi01,WR,Adam Thielen,ThieAd00,WR,Jonathan Mingo,MingJo00,WR,Terrace Marshall Jr.,MarsTe00,TE,Hayden Hurst,HursHa00,OL,Bradley Bozeman,BozeBr00,T,Taylor Moton,MotoTa00,T,Ikem Ekwonu,EkwoIk00,G,Chandler Zavala,ZavaCh00,G,Brady Christensen,ChriBr00,DT,Shy Tuttle,TuttSh00,DT,Derrick Brown,BrowDe05,OLB,Justin Houston,HousJu00,OLB,Brian Burns,BurnBr00,LB,Frankie Luvu,LuvuFr00,LB,Shaq Thompson,ThomSh01,CB,Donte Jackson,JackDo02,CB,Jaycee Horn,HornJa00,S,Jeremy Chinn,ChinJe00,S,Xavier Woods,WoodXa00,S,Vonn Bell,BellVo00,Referee,Brad Rogers,Umpire,Ramon George,Down Judge,Kent Payne,Line Judge,Kevin Codey,Back Judge,Tyree Walton,Side Judge,Anthony Jeffries,Field Judge,Aaron Santi
202309100chi,2023-09-10,Sunday,4:25pm,Chicago Bears,Green Bay Packers,chi,gnb,20,38,Matt Eberflus,Matt LaFleur,Soldier Field,62456,3:10,outdoors,grass,"75 degrees, relative humidity 53%, wind 7 mph",QB,Justin Fields,FielJu00,RB,Khalil Herbert,HerbKh00,WR,Chase Claypool,ClayCh01,WR,D.J. Moore,,WR,Darnell Mooney,MoonDa00,TE,Cole Kmet,KmetCo00,OL,Braxton Jones,JoneBr08,OL,Darnell Wright,WrigDa00,OL,Cody Whitehair,WhitCo03,OL,Lucas Patrick,PatrLu00,OL,Nate Davis,DaviNa01,DL,Andrew Billings,BillAn00,DL,Justin Jones,JoneJu03,DL,Yannick Ngakoue,NgakYa00,DL,Gervon Dexter,DextGe00,DL,DeMarcus Walker,WalkDe03,LB,T.J. Edwards,EdwaTJ02,LB,Tremaine Edmunds,EdmuTr01,DB,Jaylon Johnson,JohnJa13,DB,Eddie Jackson,JackEd01,DB,Tyrique Stevenson,StevTy01,DB,Jaquan Brisker,BrisJa01,QB,Jordan Love,LoveJo03,RB,Aaron Jones,JoneAa00,WR,Jayden Reed,ReedJa03,WR,Malik Heath,HeatMa00,TE,Josiah Deguara,DeguJo00,TE,Luke Musgrave,MusgLu00,OL,Zach Tom,TomxZa00,OL,Josh Myers,MyerJo00,OL,Elgton Jenkins,JenkEl00,T,David Bakhtiari,BakhDa00,G,Jon Runyan Jr.,RunyJo00,DL,Kenny Clark,ClarKe01,DL,Tedarrell Slaton,SlatTe00,LB,Kingsley Enagbare,EnagKi00,LB,De'Vondre Campbell,CampDe00,LB,Preston Smith,SmitPr00,LB,Quay Walker,WalkQu00,CB,Rasul Douglas,DougRa00,CB,Keisean Nixon,NixoKe00,CB,Jaire Alexander,AlexJa00,S,Rudy Ford,FordRu00,S,Darnell Savage Jr.,SavaDa00,Referee,Craig Wrolstad,Umpire,Steve Woods,Down Judge,Jim Mello,Line Judge,Tripp Sutter,Back Judge,Grantis Bell,Side Judge,Frank Steratore,Field Judge,Jeff Shears
202309100cle,2023-09-10,Sunday,1:00pm,Cleveland Browns,Cincinnati Bengals,cle,cin,24,3,Kevin Stefanski,Zac Taylor,Cleveland Browns Stadium,67919,3:03,outdoors,grass,"68 degrees, relative humidity 83%, wind 8 mph",QB,Deshaun Watson,WatsDe00,RB,Nick Chubb,ChubNi00,WR,Amari Cooper,CoopAm00,WR,Donovan Peoples-Jones,PeopDo00,WR,Elijah Moore,MoorEl00,TE,David Njoku,NjokDa00,T,Jack Conklin,ConkJa00,T,Jedrick Wills Jr.,WillJe04,G,Joel Bitonio,BitoJo00,G,Wyatt Teller,TellWy00,C,Ethan Pocic,PociEt00,DE,Myles Garrett,GarrMy00,DE,Za'Darius Smith,SmitZa00,DT,Jordan Elliott,ElliJo02,DT,Dalvin Tomlinson,TomlDa00,LB,Jeremiah Owusu-Koramoah,OwusJe00,LB,Anthony Walker,WalkAn01,CB,Martin Emerson,EmerMa00,CB,Greg Newsome II,NewsGr00,CB,Denzel Ward,WardDe02,S,Rodney McLeod,McLeRo00,S,Grant Delpit,DelpGr00,QB,Joe Burrow,BurrJo01,RB,Joe Mixon,MixoJo00,WR,Tyler Boyd,BoydTy00,WR,Ja'Marr Chase,ChasJa00,WR,Tee Higgins,HiggTe00,TE,Irv Smith Jr.,SmitIr01,T,Orlando Brown Jr.,BrowOr00,T,Jonah Williams,WillJo10,G,Alex Cappa,CappAl00,G,Cordell Volson,VolsCo02,C,Ted Karras,KarrTe00,DE,Sam Hubbard,HubbSa00,DE,Trey Hendrickson,HendTr00,DT,D.J. Reader,,DT,B.J. Hill,,LB,Germaine Pratt,PratGe00,LB,Logan Wilson,WilsLo00,CB,Chidobe Awuzie,AwuzCh00,CB,Mike Hilton,HiltMi01,CB,Cam Taylor-Britt,TaylCa01,S,Nick Scott,ScotNi01,S,Daxton Hill,HillDa04,Referee,Clete Blakeman,Umpire,Scott Campbell,Down Judge,Dana McKenzie,Line Judge,Julian Mapp,Back Judge,Jonah Monroe,Side Judge,Lo Van,Field Judge,Terry Brown
202309100clt,2023-09-10,Sunday,1:00pm,Indianapolis Colts,Jacksonville Jaguars,clt,jax,21,31,Shane Steichen,Doug Pederson,Lucas Oil Stadium,65749,3:12,retractable roof (closed),fieldturf,,QB,Anthony Richardson,RichAn03,RB,Deon Jackson,JackDe02,WR,Josh Downs,DownJo00,WR,Michael Pittman Jr.,PittMi01,WR,Alec Pierce,PierAl00,TE,Andrew Ogletree,OgleAn00,OL,Will Fries,FrieWi00,T,Braden Smith,SmitBr06,T,Bernhard Raimann,RaimBe00,G,Quenton Nelson,NelsQu00,C,Ryan Kelly,KellRy00,DE,Samson Ebukam,EbukSa00,DE,Kwity Paye,PayeKw00,DT,Grover Stewart,StewGr00,DT,DeForest Buckner,BuckDe00,LB,Shaquille Leonard,LeonDa00,LB,Zaire Franklin,FranZa00,CB,Kenny Moore,MoorKe03,CB,Dallis Flowers,FlowDa00,CB,Darrell Baker,BakeDa02,S,Rodney Thomas II,ThomRo07,S,Julian Blackmon,BlacJu01,QB,Trevor Lawrence,LawrTr00,RB,Travis Etienne,EtieTr00,WR,Calvin Ridley,RidlCa00,WR,Christian Kirk,KirkCh01,WR,Zay Jones,JoneZa00,TE,Evan Engram,EngrEv00,OL,Ben Bartch,BartBe00,OL,Brandon Scherff,ScheBr00,OL,Walker Little,LittWa00,OL,Luke Fortner,FortLu01,T,Anton Harrison,HarrAn00,DL,Folorunso Fatukasi,FatuFo00,DL,Roy Robertson-Harris,RobeRo00,OLB,Josh Hines-Allen,AlleJo03,OLB,Travon Walker,WalkTr03,LB,Devin Lloyd,LloyDe00,LB,Foyesade Oluokun,OluoFo00,CB,Tre Herndon,HernTr00,CB,Tyson Campbell,CampTy01,CB,Darious Williams,WillDa09,S,Rayshawn Jenkins,JenkRa00,S,Andre Cisco,CiscAn00,Referee,Clay Martin,Umpire,James Carter,Down Judge,Jerod Phillips,Line Judge,Greg Bradley,Back Judge,Greg Wilson,Side Judge,Dave Hawkshaw,Field Judge,Alonzo Ramsey
202309100den,2023-09-10,Sunday,4:25pm,Denver Broncos,Las Vegas Raiders,den,rai,16,17,Sean Payton,Josh McDaniels,Empower Field at Mile High,76299,2:55,outdoors,grass,"64 degrees, relative humidity 65%, wind 12 mph",QB,Russell Wilson,WilsRu00,RB,Javonte Williams,WillJa10,WR,Courtland Sutton,SuttCo00,WR,Lil'Jordan Humphrey,HumpLi01,TE,Adam Trautman,TrauAd00,TE,Greg Dulcich,DulcGr00,OL,Quinn Meinerz,MeinQu02,T,Garett Bolles,BollGa00,T,Mike McGlinchey,McGlMi00,G,Ben Powers,PoweBe00,C,Lloyd Cushenberry III,CushLl00,DL,Jonathan Harris,HarrJo05,DE,Zach Allen,AlleZa01,DT,D.J. Jones,,OLB,Randy Gregory,GregRa00,OLB,Jonathon Cooper,CoopJo02,LB,Josey Jewell,JeweJo00,LB,Alex Singleton,SingAl00,CB,Damarri Mathis,MathDa00,CB,Patrick Surtain II,SurtPa01,S,Kareem Jackson,JackKa99,S,Justin Simmons,SimmJu00,QB,Jimmy Garoppolo,GaroJi00,RB,Josh Jacobs,JacoJo01,FB,Jakob Johnson,JohnJa12,WR,Davante Adams,AdamDa01,WR,Jakobi Meyers,MeyeJa01,OL,Jermaine Eluemunor,ElueJe00,T,Thayer Munford,MunfTh00,T,Kolton Miller,MillKo00,G,Greg Van Roten,VanRGr00,G,Dylan Parham,ParhDy00,C,Andre James,JameAn01,DE,Maxx Crosby,CrosMa00,DT,John Jenkins,JenkJo00,DT,Bilal Nichols,NichBi00,DT,Jerry Tillery,TillJe00,LB,Divine Deablo,DeabDi00,LB,Robert Spillane,SpilRo00,CB,Nate Hobbs,HobbNa00,CB,Marcus Peters,PeteMa00,CB,Jakorian Bennett,BennJa00,S,Marcus Epps,EppsMa00,S,Tre'von Moehrig,MoehTr00,Referee,Bill Vinovich,Umpire,Alex Moore,Down Judge,Dale Keller,Line Judge,Mark Perlman,Back Judge,Jimmy Russell,Side Judge,Jimmy Buchanan,Field Judge,Joe Blubaugh
202309100min,2023-09-10,Sunday,1:00pm,Minnesota Vikings,Tampa Bay Buccaneers,min,tam,17,20,Kevin O'Connell,Todd Bowles,U.S. Bank Stadium,66741,3:03,dome,sportturf,,QB,Kirk Cousins,CousKi00,RB,Alexander Mattison,MattAl01,WR,K.J. Osborn,OsboKJ00,WR,Justin Jefferson,JeffJu00,TE,T.J. Hockenson,HockTJ00,TE,Josh Oliver,OlivJo00,T,Christian Darrisaw,DarrCh00,T,Brian O'Neill,ONeiBr00,G,Ezra Cleveland,ClevEz00,G,Ed Ingram,IngrEd00,C,Garrett Bradbury,BradGa00,DL,Jonathan Bullard,BullJo00,DL,Harrison Phillips,PhilHa00,DL,Dean Lowry,LowrDe00,OLB,Danielle Hunter,HuntDa01,OLB,D.J. Wonnum,WonnDJ00,LB,Jordan Hicks,HickJo00,CB,Byron Murphy,MurpBy00,CB,Akayleb Evans,EvanAk00,S,Josh Metellus,MeteJo00,S,Camryn Bynum,BynuCa00,S,Harrison Smith,SmitHa00,QB,Baker Mayfield,MayfBa00,RB,Rachaad White,WhitRa01,WR,Mike Evans,EvanMi00,WR,Chris Godwin,GodwCh00,TE,Cade Otton,OttoCa00,TE,Ko Kieft,KiefKo00,OL,Matt Feiler,FeilMa00,OL,Robert Hainsey,HainRo00,T,Tristan Wirfs,WirfTr00,G,Luke Goedeke,GoedLu00,G,Cody Mauch,MaucCo00,DL,Logan Hall,HallLo00,DL,Calijah Kancey,KancCa00,DL,Vita Vea,VeaxVi00,OLB,Joe Tryon-Shoyinka,TryoJo00,OLB,Shaquil Barrett,BarrSh00,LB,Lavonte David,DaviLa00,LB,Devin White,WhitDe02,CB,Jamel Dean,DeanJa00,CB,Carlton Davis,DaviCa02,S,Ryan Neal,NealRy00,S,Antoine Winfield Jr.,WinfAn00,Referee,Scott Novak,Umpire,Mark Pellis,Down Judge,Brian Sakowski,Line Judge,Mark Stewart,Back Judge,Terrence Miles,Side Judge,David Meslow,Field Judge,Tra Boger
202309100nor,2023-09-10,Sunday,1:00pm,New Orleans Saints,Tennessee Titans,nor,oti,16,15,Dennis Allen,Mike Vrabel,Caesars Superdome,70024,3:17,dome,sportturf,,QB,Derek Carr,CarrDe02,RB,Jamaal Williams,WillJa06,WR,Michael Thomas,ThomMi05,WR,Chris Olave,OlavCh00,TE,Juwan Johnson,JohnJu02,TE,Foster Moreau,MoreFo00,OL,Erik McCoy,McCoEr01,OL,Cesar Ruiz,RuizCe00,OL,James Hurst,HursJa00,T,Trevor Penning,PennTr00,T,Ryan Ramczyk,RamcRy00,DE,Cameron Jordan,JordCa00,DE,Carl Granderson,GranCa01,DT,Khalen Saunders,SaunKh00,DT,Nathan Shepherd,ShepNa00,LB,Demario Davis,DaviDe00,LB,Pete Werner,WernPe00,LB,Zack Baun,BaunZa00,CB,Marshon Lattimore,LattMa01,CB,Paulson Adebo,AdebPa00,S,Tyrann Mathieu,MathTy00,S,Marcus Maye,MayeMa00,QB,Ryan Tannehill,TannRy00,RB,Derrick Henry,HenrDe00,WR,Treylon Burks,BurkTr00,WR,DeAndre Hopkins,HopkDe00,TE,Trevon Wesco,WescTr00,TE,Chig Okonkwo,OkonCh00,OL,Aaron Brewer,BrewAa01,OL,Daniel Brunskill,BrunDa00,OL,Peter Skoronski,SkorPe00,OL,Chris Hubbard,HubbCh00,T,Andre Dillard,DillAn00,DL,Denico Autry,AutrDe00,DT,Kyle Peko,PekoKy00,DT,Jeffery Simmons,SimmJe01,DT,Teair Tart,TartTe00,OLB,Harold Landry,LandHa00,LB,Jack Gibbens,GibbJa00,LB,Azeez Al-Shaair,AlShAz00,CB,Kristian Fulton,FultKr00,CB,Sean Murphy-Bunting,BuntSe00,DB,Amani Hooker,HookAm00,S,Kevin Byard,ByarKe01,Referee,Ron Torbert,Umpire,Barry Anderson,Down Judge,Max Causey,Line Judge,Maia Chaka,Back Judge,Tony Josselyn,Side Judge,Keith Washington,Field Judge,Ryan Dickson
202309100nwe,2023-09-10,Sunday,4:25pm,New England Patriots,Philadelphia Eagles,nwe,phi,20,25,Bill Belichick,Nick Sirianni,Gillette Stadium,64628,3:14,outdoors,fieldturf,"71 degrees, relative humidity 96%, wind 5 mph",QB,Mac Jones,JoneMa05,RB,Rhamondre Stevenson,StevRh00,WR,Kendrick Bourne,BourKe00,WR,JuJu Smith-Schuster,SmitJu00,TE,Mike Gesicki,GesiMi00,TE,Hunter Henry,HenrHu00,OL,Calvin Anderson,AndeCa00,OL,Sidy Sow,SowxSi00,OL,Trent Brown,BrowTr02,OL,Atonio Mafi,MafiAt00,C,David Andrews,AndrDa00,DL,Davon Godchaux,GodcDa00,DL,Christian Barmore,BarmCh00,DL,Deatrich Wise Jr.,WiseDe00,LB,Matt Judon,JudoMa00,LB,Ja'Whaun Bentley,BentJa00,LB,Jahlani Tavai,TavaJa00,CB,Christian Gonzalez,GonzCh00,DB,Jonathan Jones,JoneJo03,DB,Kyle Dugger,DuggKy00,DB,Jabrill Peppers,PeppJa00,DB,Myles Bryant,BryaMy01,QB,Jalen Hurts,HurtJa00,RB,Kenneth Gainwell,GainKe00,WR,Quez Watkins,WatkQu00,WR,A.J. Brown,BrowAJ00,WR,DeVonta Smith,SmitDe07,TE,Dallas Goedert,GoedDa00,OL,Cam Jurgens,JurgCa01,T,Jordan Mailata,MailJo00,T,Lane Johnson,JohnLa01,G,Landon Dickerson,DickLa00,C,Jason Kelce,KelcJa00,DE,Josh Sweat,SweaJo00,DT,Milton Williams,WillMi08,DT,Jordan Davis,DaviJo03,DT,Fletcher Cox,CoxxFl00,OLB,Haason Reddick,ReddHa00,LB,Nakobe Dean,DeanNa00,LB,Zach Cunningham,CunnZa00,CB,Darius Slay,SlayDa00,CB,James Bradberry,BradJa00,S,Justin Evans,EvanJu00,S,Reed Blankenship,BlanRe00,Referee,Shawn Hochuli,Umpire,Terry Killens,Down Judge,Patrick Holt,Line Judge,Tim Podraza,Back Judge,Rich Martinez,Side Judge,Chad Hill,Field Judge,Jason Ledet
202309100nyg,2023-09-10,Sunday,8:20pm,New York Giants,Dallas Cowboys,nyg,dal,0,40,Brian Daboll,Mike McCarthy,MetLife Stadium,80809,2:55,outdoors,fieldturf,"74 degrees, relative humidity 82%, wind 3 mph",QB,Daniel Jones,JoneDa05,RB,Saquon Barkley,BarkSa00,WR,Parris Campbell,CampPa00,WR,Isaiah Hodgins,HodgIs00,TE,Daniel Bellinger,BellDa00,TE,Darren Waller,WallDa01,T,Andrew Thomas,ThomAn02,T,Evan Neal,NealEv00,G,Ben Bredeson,BredBe00,G,Mark Glowinski,GlowMa00,C,John Michael Schmitz,MichJo00,DL,Leonard Williams,WillLe02,DL,Dexter Lawrence,LawrDe03,OLB,Azeez Ojulari,OjulAz00,OLB,Kayvon Thibodeaux,ThibKa00,LB,Micah McFadden,McFaMi01,LB,Bobby Okereke,OkerBo00,CB,Adoree' Jackson,JackAd00,CB,Tre Hawkins,HawkTr00,CB,Deonte Banks,BankDe00,S,Xavier McKinney,McKiXa00,S,Jason Pinnock,PinnJa01,QB,Dak Prescott,PresDa01,RB,Tony Pollard,PollTo00,WR,Brandin Cooks,CookBr00,WR,Michael Gallup,GallMi00,WR,CeeDee Lamb,LambCe00,TE,Jake Ferguson,FergJa00,T,Terence Steele,SteeTe01,T,Tyron Smith,SmitTy00,G,Chuma Edoga,EdogCh00,G,Zack Martin,MartZa00,C,Tyler Biadasz,BiadTy00,DE,DeMarcus Lawrence,LawrDe00,DT,Johnathan Hankins,HankJo00,DT,Osa Odighizuwa,OdigOs00,LB,Leighton Vander Esch,VandLe00,LB,Micah Parsons,ParsMi00,LB,Damone Clark,ClarDa02,CB,Stephon Gilmore,GilmSt00,CB,Trevon Diggs,DiggTr00,S,Jayron Kearse,KearJa00,S,Malik Hooker,HookMa00,S,Juanyeh Thomas,ThomJu03,Referee,Adrian Hill,Umpire,Roy Ellison,Down Judge,David Oliver,Line Judge,Brett Bergman,Back Judge,Greg Steed,Side Judge,Jim Quirk,Field Judge,Mearl Robinson
